id,label,name
chunk_0,TextChunk,Naloxone reverses the antihypertensive effect of clonidine .
Naloxone,Chemical,Naloxone
clonidine,Chemical,clonidine
chunk_1,TextChunk,"In unanesthetized , spontaneously hypertensive rats the decrease in blood pressure and heart rate produced by intravenous clonidine , 5 to 20 micrograms / kg , was inhibited or reversed by nalozone , 0 ."
hypertensive,Disease,hypertensive
nalozone,Chemical,nalozone
chunk_2,TextChunk,2 to 2 mg / kg .
chunk_3,TextChunk,The hypotensive effect of 100 mg / kg alpha-methyldopa was also partially reversed by naloxone .
hypotensive,Disease,hypotensive
alpha-methyldopa,Chemical,alpha-methyldopa
naloxone,Chemical,naloxone
chunk_4,TextChunk,Naloxone alone did not affect either blood pressure or heart rate .
chunk_5,TextChunk,"In brain membranes from spontaneously hypertensive rats clonidine , 10 (- 8 ) to 10 (- 5 ) M , did not influence stereoselective binding of [3H]-naloxone ( 8 nM ), and naloxone , 10 (- 8 ) to 10 (- 4 ) M , did not influence clonidine - suppressible binding of [3H]-dihydroergocryptine ( 1 nM ). These findings indicate that in spontaneously hypertensive rats the effects of central alpha - adrenoceptor stimulation involve activation of opiate receptors ."
[3H]-naloxone,Chemical,[3H]-naloxone
[3H]-dihydroergocryptine,Chemical,[3H]-dihydroergocryptine
chunk_6,TextChunk,"As naloxone and clonidine do not appear to interact with the same receptor site , the observed functional antagonism suggests the release of an endogenous opiate by clonidine or alpha-methyldopa"
chunk_7,TextChunk,Lidocaine - induced cardiac asystole .
Lidocaine,Chemical,Lidocaine
cardiac asystole,Disease,cardiac asystole
chunk_8,TextChunk,Intravenous administration of a single 50 - mg bolus of lidocaine in a 67 - year - old man resulted in profound depression of the activity of the sinoatrial and atrioventricular nodal pacemakers .
lidocaine,Chemical,lidocaine
depression,Disease,depression
chunk_9,TextChunk,"The patient had no apparent associated conditions which might have predisposed him to the development of bradyarrhythmias ; and , thus , this probably represented a true idiosyncrasy to lidocaine"
bradyarrhythmias,Disease,bradyarrhythmias
chunk_10,TextChunk,Suxamethonium infusion rate and observed fasciculations .
Suxamethonium,Chemical,Suxamethonium
fasciculations,Disease,fasciculations
chunk_11,TextChunk,A dose - response study .
chunk_12,TextChunk,Suxamethonium chloride ( Sch ) was administered i .
Suxamethonium chloride,Chemical,Suxamethonium chloride
Sch,Chemical,Sch
chunk_13,TextChunk,v .
chunk_14,TextChunk,to 36 adult males at six rates : 0 .
chunk_15,TextChunk,25 mg s - 1 to 20 mg s - 1 .
chunk_16,TextChunk,The infusion was discontinued either when there was no muscular response to tetanic stimulation of the ulnar nerve or when Sch 120 mg was exceeded .
tetanic,Disease,tetanic
chunk_17,TextChunk,Six additional patients received a 30 - mg i .
chunk_18,TextChunk,v .
chunk_19,TextChunk,bolus dose .
chunk_20,TextChunk,Fasciculations in six areas of the body were scored from 0 to 3 and summated as a total fasciculation score .
Fasciculations,Disease,Fasciculations
fasciculation,Disease,fasciculation
chunk_21,TextChunk,"The times to first fasciculation , twitch suppression and tetanus suppression were inversely related to the infusion rates ."
twitch,Disease,twitch
tetanus,Disease,tetanus
chunk_22,TextChunk,Fasciculations in the six areas and the total fasciculation score were related directly to the rate of infusion .
chunk_23,TextChunk,Total fasciculation
chunk_24,TextChunk,"Galanthamine hydrobromide , a longer acting anticholinesterase drug , in the treatment of the central effects of scopolamine ( Hyoscine ). Galanthamine hydrobromide , an anticholinesterase drug capable of penetrating the blood - brain barrier , was used in a patient demonstrating central effects of scopolamine ( hyoscine ) overdosage ."
Galanthamine hydrobromide,Chemical,Galanthamine hydrobromide
scopolamine,Chemical,scopolamine
Hyoscine,Chemical,Hyoscine
hyoscine,Chemical,hyoscine
overdosage,Disease,overdosage
chunk_25,TextChunk,It is longer acting than physostigmine and is used in anaesthesia to reverse the non - depolarizing neuromuscular block .
physostigmine,Chemical,physostigmine
chunk_26,TextChunk,"However , studies into the dose necessary to combating scopolamine"
chunk_27,TextChunk,Effects of uninephrectomy and high protein feeding on lithium - induced chronic renal failure in rats .
lithium,Chemical,lithium
chronic renal failure,Disease,chronic renal failure
chunk_28,TextChunk,"Rats with lithium - induced nephropathy were subjected to high protein ( HP ) feeding , uninephrectomy ( NX ) or a combination of these , in an attempt to induce glomerular hyperfiltration and further progression of renal failure ."
nephropathy,Disease,nephropathy
renal failure,Disease,renal failure
chunk_29,TextChunk,"Newborn female Wistar rats were fed a lithium - containing diet ( 50 mmol / kg ) for 8 weeks and then randomized to normal diet , HP diet ( 40 vs ."
chunk_30,TextChunk,"19 %), NX or HP + NX for another 8 weeks ."
chunk_31,TextChunk,Corresponding non - lithium pretreated groups were generated .
