source,relation,target
Naloxone,MENTIONED_IN,chunk_0
clonidine,MENTIONED_IN,chunk_0
hypertensive,MENTIONED_IN,chunk_1
clonidine,MENTIONED_IN,chunk_1
nalozone,MENTIONED_IN,chunk_1
clonidine,CO_OCCURS_WITH,hypertensive
nalozone,CO_OCCURS_WITH,hypertensive
alpha-methyldopa,MENTIONED_IN,chunk_3
naloxone,MENTIONED_IN,chunk_3
hypotensive,MENTIONED_IN,chunk_3
alpha-methyldopa,CO_OCCURS_WITH,hypotensive
naloxone,CO_OCCURS_WITH,hypotensive
Naloxone,MENTIONED_IN,chunk_4
naloxone,MENTIONED_IN,chunk_5
[3H]-dihydroergocryptine,MENTIONED_IN,chunk_5
[3H]-naloxone,MENTIONED_IN,chunk_5
clonidine,MENTIONED_IN,chunk_5
hypertensive,MENTIONED_IN,chunk_5
naloxone,CO_OCCURS_WITH,hypertensive
[3H]-dihydroergocryptine,CO_OCCURS_WITH,hypertensive
[3H]-naloxone,CO_OCCURS_WITH,hypertensive
alpha-methyldopa,MENTIONED_IN,chunk_6
clonidine,MENTIONED_IN,chunk_6
naloxone,MENTIONED_IN,chunk_6
Lidocaine,MENTIONED_IN,chunk_7
cardiac asystole,MENTIONED_IN,chunk_7
Lidocaine,CO_OCCURS_WITH,cardiac asystole
lidocaine,MENTIONED_IN,chunk_8
depression,MENTIONED_IN,chunk_8
lidocaine,CO_OCCURS_WITH,depression
bradyarrhythmias,MENTIONED_IN,chunk_9
lidocaine,MENTIONED_IN,chunk_9
lidocaine,CO_OCCURS_WITH,bradyarrhythmias
Suxamethonium,MENTIONED_IN,chunk_10
fasciculations,MENTIONED_IN,chunk_10
Suxamethonium,CO_OCCURS_WITH,fasciculations
Suxamethonium chloride,MENTIONED_IN,chunk_12
Sch,MENTIONED_IN,chunk_12
Sch,MENTIONED_IN,chunk_16
tetanic,MENTIONED_IN,chunk_16
Sch,CO_OCCURS_WITH,tetanic
fasciculation,MENTIONED_IN,chunk_20
Fasciculations,MENTIONED_IN,chunk_20
twitch,MENTIONED_IN,chunk_21
tetanus,MENTIONED_IN,chunk_21
fasciculation,MENTIONED_IN,chunk_21
fasciculation,MENTIONED_IN,chunk_22
Fasciculations,MENTIONED_IN,chunk_22
fasciculation,MENTIONED_IN,chunk_23
Galanthamine hydrobromide,MENTIONED_IN,chunk_24
scopolamine,MENTIONED_IN,chunk_24
Hyoscine,MENTIONED_IN,chunk_24
overdosage,MENTIONED_IN,chunk_24
hyoscine,MENTIONED_IN,chunk_24
Galanthamine hydrobromide,CO_OCCURS_WITH,overdosage
scopolamine,CO_OCCURS_WITH,overdosage
Hyoscine,CO_OCCURS_WITH,overdosage
hyoscine,CO_OCCURS_WITH,overdosage
physostigmine,MENTIONED_IN,chunk_25
scopolamine,MENTIONED_IN,chunk_26
chronic renal failure,MENTIONED_IN,chunk_27
lithium,MENTIONED_IN,chunk_27
lithium,CO_OCCURS_WITH,chronic renal failure
renal failure,MENTIONED_IN,chunk_28
nephropathy,MENTIONED_IN,chunk_28
lithium,MENTIONED_IN,chunk_28
lithium,CO_OCCURS_WITH,renal failure
lithium,CO_OCCURS_WITH,nephropathy
lithium,MENTIONED_IN,chunk_29
lithium,MENTIONED_IN,chunk_31
lithium,MENTIONED_IN,chunk_32
Li,MENTIONED_IN,chunk_33
lithium,MENTIONED_IN,chunk_33
Lithium,MENTIONED_IN,chunk_34
proteinuria,MENTIONED_IN,chunk_34
hypertension,MENTIONED_IN,chunk_34
glomerulosclerosis,MENTIONED_IN,chunk_34
Lithium,CO_OCCURS_WITH,proteinuria
Lithium,CO_OCCURS_WITH,hypertension
Lithium,CO_OCCURS_WITH,glomerulosclerosis
creatinine,MENTIONED_IN,chunk_35
renal failure,MENTIONED_IN,chunk_35
lithium,MENTIONED_IN,chunk_35
creatinine,CO_OCCURS_WITH,renal failure
Li,MENTIONED_IN,chunk_37
proteinuria,MENTIONED_IN,chunk_38
Li,MENTIONED_IN,chunk_38
hypertension,MENTIONED_IN,chunk_38
nephropathy,MENTIONED_IN,chunk_38
Li,CO_OCCURS_WITH,proteinuria
Li,CO_OCCURS_WITH,hypertension
Li,CO_OCCURS_WITH,nephropathy
chronic renal failure,MENTIONED_IN,chunk_39
fusidic acid,MENTIONED_IN,chunk_40
Crohn's disease,MENTIONED_IN,chunk_40
cyclosporin,MENTIONED_IN,chunk_40
fusidic acid,CO_OCCURS_WITH,Crohn's disease
cyclosporin,CO_OCCURS_WITH,Crohn's disease
cyclosporin,MENTIONED_IN,chunk_41
fusidic acid,MENTIONED_IN,chunk_42
Crohn's disease,MENTIONED_IN,chunk_42
Crohn's disease,MENTIONED_IN,chunk_43
Fusidic acid,MENTIONED_IN,chunk_44
fusidic acid,MENTIONED_IN,chunk_49
nausea,MENTIONED_IN,chunk_50
fusidic acid,MENTIONED_IN,chunk_53
Crohn's disease,MENTIONED_IN,chunk_53
fusidic acid,MENTIONED_IN,chunk_54
inflammatory bowel disease,MENTIONED_IN,chunk_54
fusidic acid,CO_OCCURS_WITH,inflammatory bowel disease
myocardial injury,MENTIONED_IN,chunk_55
cocaine,MENTIONED_IN,chunk_55
cocaine,CO_OCCURS_WITH,myocardial injury
schizophrenic,MENTIONED_IN,chunk_56
cocaine,MENTIONED_IN,chunk_56
cocaine,CO_OCCURS_WITH,schizophrenic
cocaine,MENTIONED_IN,chunk_57
bundle branch block,MENTIONED_IN,chunk_57
myocardial infarction,MENTIONED_IN,chunk_57
myocardial injury,MENTIONED_IN,chunk_57
ischemia,MENTIONED_IN,chunk_57
cocaine,CO_OCCURS_WITH,bundle branch block
cocaine,CO_OCCURS_WITH,myocardial infarction
cocaine,CO_OCCURS_WITH,ischemia
tardive dystonia,MENTIONED_IN,chunk_58
Sulpiride,MENTIONED_IN,chunk_58
Sulpiride,CO_OCCURS_WITH,tardive dystonia
antidepressant,MENTIONED_IN,chunk_59
Sulpiride,MENTIONED_IN,chunk_59
parkinsonism,MENTIONED_IN,chunk_60
tardive dyskinesia,MENTIONED_IN,chunk_60
sulpiride,MENTIONED_IN,chunk_60
sulpiride,CO_OCCURS_WITH,parkinsonism
sulpiride,CO_OCCURS_WITH,tardive dyskinesia
sulpiride,MENTIONED_IN,chunk_61
dystonia,MENTIONED_IN,chunk_61
sulpiride,CO_OCCURS_WITH,dystonia
sulpiride,MENTIONED_IN,chunk_62
tardive dystonia,MENTIONED_IN,chunk_62
sulpiride,CO_OCCURS_WITH,tardive dystonia
desferrioxamine,MENTIONED_IN,chunk_63
Ocular and auditory toxicity,MENTIONED_IN,chunk_63
desferrioxamine,CO_OCCURS_WITH,Ocular and auditory toxicity
desferrioxamine,MENTIONED_IN,chunk_64
audiovisual toxicity,MENTIONED_IN,chunk_64
desferrioxamine,CO_OCCURS_WITH,audiovisual toxicity
visual or auditory toxicity,MENTIONED_IN,chunk_65
Visual toxicity,MENTIONED_IN,chunk_67
dyschromatopsy,MENTIONED_IN,chunk_67
pigmentary retinal deposits,MENTIONED_IN,chunk_67
a loss of visual acuity,MENTIONED_IN,chunk_67
neurosensorial hearing loss,MENTIONED_IN,chunk_68
Auditory toxicity,MENTIONED_IN,chunk_68
hearing loss,MENTIONED_IN,chunk_69
Desferrioxamine,MENTIONED_IN,chunk_69
Desferrioxamine,CO_OCCURS_WITH,hearing loss
toxicity,MENTIONED_IN,chunk_70
aluminium,MENTIONED_IN,chunk_70
desferrioxamine,MENTIONED_IN,chunk_70
desferrioxamine,CO_OCCURS_WITH,toxicity
aluminium,CO_OCCURS_WITH,toxicity
desferrioxamine,MENTIONED_IN,chunk_71
audiovisual toxicity,MENTIONED_IN,chunk_71
Myasthenia gravis,MENTIONED_IN,chunk_72
magnesium,MENTIONED_IN,chunk_72
magnesium,CO_OCCURS_WITH,Myasthenia gravis
neuromuscular disease,MENTIONED_IN,chunk_73
preeclampsia,MENTIONED_IN,chunk_73
magnesium,MENTIONED_IN,chunk_73
